RuleID,Command,Notes
SV-238364r958868,nan,"Verify the directory containing the root certificates for the Ubuntu operating system contains certificate files for DoD PKI-established certificate authorities by iterating over all files in the ""/etc/ssl/certs"" directory and checking if, at least one, has the subject matching ""DOD ROOT CA"""
SV-238372r958948,sudo grep SILENTREPORTS /etc/default/aide,Verify that Advanced Intrusion Detection Environment (AIDE) notifies the System Administrator  when anomalies in the operation of any security functions are discovered
SV-238374r991593,"systemctl status ufw.service | grep -i ""active:""","systemctl status ufw.service | grep -i ""active:"""
SV-238377r991560,"sudo find /bin /sbin /usr/bin /usr/sbin /usr/local/bin /usr/local/sbin ! -user root -type f -exec stat -c ""%n %U"" '{}' \;",Verify the system commands contained in the following directories are owned by root
SV-238378r991560,"sudo find -L /bin /sbin /usr/bin /usr/sbin /usr/local/bin /usr/local/sbin ! -group root -type f ! -perm /2000 -exec stat -c ""%n %G"" '{}' \;",Verify the system commands contained in the following directories are group-owned by root
SV-255912r991554,sudo /usr/sbin/sshd -dd 2>&1 | awk '/filename/ {print $4}' | tr -d '\r' | tr '\n' ' ' | xargs sudo grep -iH '^\s*kexalgorithms',Verify the SSH server is configured to use only FIPS-validated key exchange algorithms
SV-274853r1106127,dpkg -l | grep sssd,Verify Ubuntu 20.04 LTS has the packages required for multifactor authentication installed
SV-274854r1106129,sudo systemctl is-enabled sssd,"Verify the ""sssd.service"" is enabled"
SV-274854r1106129,sudo systemctl is-active sssd,"Verify the ""sssd.service"" is active"
SV-274855r1107182,sudo grep -A 1 '^\[sssd\]' /etc/sssd/sssd.conf,Verify the pam service is listed under [sssd]
SV-274855r1107182,sudo grep -A 1 '^\[pam]' /etc/sssd/sssd.conf,Verify the pam service is set to use pam for smart card authentication in the [pam] section of /etc/sssd/sssd.conf
SV-274855r1107182,sudo grep certificate_verification /etc/sssd/sssd.conf,"Verify ""ca"" is enabled in ""certificate_verification"""
SV-274858r1106125,sudo grep -iwR 'ALL' /etc/sudoers /etc/sudoers.d/ | grep -v '#',Verify the operating system restricts privilege elevation to authorized personnel with the following command
SV-274859r1101698,sudo egrep -iR 'NOPASSWD' /etc/sudoers /etc/sudoers.d/,"Verify that ""/etc/sudoers"" has no occurrences of ""NOPASSWD"""
SV-238234r1015152,grep -i remember /etc/pam.d/common-password,Verify the Ubuntu operating system prevents passwords from being reused for a minimum of five generations
SV-238307r971542,sudo grep ^space_left_action /etc/audit/auditd.conf,Verify the Ubuntu operating system notifies the SA and ISSO (at a minimum) when allocated audit record storage volume reaches 75% of the repository maximum audit record storage capacity
SV-238307r971542,sudo grep ^space_left /etc/audit/auditd.conf,Verify the Ubuntu operating system notifies the SA and ISSO (at a minimum) when allocated audit record storage volume reaches 75% of the repository maximum audit record storage capacity
SV-238307r971542,sudo grep ^action_mail_acct /etc/audit/auditd.conf,Verify the Ubuntu operating system notifies the SA and ISSO (at a minimum) when allocated audit record storage volume reaches 75% of the repository maximum audit record storage capacity
SV-238308r958788,"timedatectl status | grep -i ""time zone""",To verify the time zone is configured to use UTC or GMT
SV-238321r959008,sudo ls /etc/cron.weekly,Verify there is a script that offloads audit data and that script runs weekly.
SV-238362r958828,sudo grep offline_credentials_expiration /etc/sssd/sssd.conf /etc/sssd/conf.d/*.conf,Verify that PAM prohibits the use of cached authentications after one day
SV-255913r958524,sudo sysctl kernel.dmesg_restrict,Verify the operating system is configured to restrict access to the kernel message buffer
SV-255913r958524,sudo grep -r kernel.dmesg_restrict /run/sysctl.d/* /etc/sysctl.d/* /usr/local/lib/sysctl.d/* /usr/lib/sysctl.d/* /lib/sysctl.d/* /etc/sysctl.conf 2> /dev/null,Check that the configuration files are present to enable this kernel parameter
SV-274856r1106132,sudo grep offline_credentials_expiration /etc/sssd/sssd.conf /etc/sssd/conf.d/*.conf,Verify that PAM prohibits the use of cached authentications after one day
